Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	RateAC-Standard_TIM1.1	RateAG-Standard_TIM1.1	RateAT-Standard_TIM1.1	RateCG-Standard_TIM1.1	RateCT-Standard_TIM1.1	RateGT-Standard_TIM1.1	mutationRate.1	gammaShape.1	mutationRate.2	gammaShape.2	RateAC-Standard_TIM1.2	RateAG-Standard_TIM1.2	RateAT-Standard_TIM1.2	RateCG-Standard_TIM1.2	RateCT-Standard_TIM1.2	RateGT-Standard_TIM1.2	RateAC-Standard_TIM1.3	RateAG-Standard_TIM1.3	RateAT-Standard_TIM1.3	RateCG-Standard_TIM1.3	RateCT-Standard_TIM1.3	RateGT-Standard_TIM1.3	mutationRate.3	gammaShape.3	popSize	CoalescentConstant	clockRate	
10	-8245.579716179232	-7782.285920965194	-463.293795214039	-1092.2127110203758	-5253.833677621939	210.327645757436	1678.5015053268048	-1436.239532322879	0.24476060727224946	0.7667747956916918	0.1025954605645226	0.1025954605645226	4.538513068634758	0.24476060727224946	0.001	0.13626501928482743	0.001	0.10291643821137271	0.19576259654178998	2.9805004062871294	0.06559508795533714	0.06559508795533714	2.4967842247186227	0.19576259654178998	0.14231829682579453	2.039784736221905	0.20785093515865552	0.20785093515865552	3.259876799809199	0.14231829682579453	0.001	0.9748946941613863	136.77774687112841	-457.1613617394957	1.547415899694113	
11	-8243.772673454268	-7780.736512891344	-463.0361605629236	-1091.3440198685612	-5256.444263032693	221.00561266983638	1658.604814897824	-1432.9482299900899	0.35357383688716293	0.6092778597993495	0.1153930046184202	0.1153930046184202	4.452788457189479	0.35357383688716293	0.001	0.13626501928482743	0.001	0.10291643821137271	0.2124619330323393	3.105803044456025	0.0031799931683269417	0.0031799931683269417	2.4629131031426486	0.2124619330323393	0.1230698585713274	1.920305385500622	0.23696170903380467	0.23696170903380467	3.359631479289118	0.1230698585713274	0.001	0.9748946941613863	161.12919904552942	-456.7398778895516	1.530451125891935	
12	-8239.054108278317	-7778.151610215607	-460.90249806270845	-1099.4582670586938	-5238.347712286635	188.09140432320726	1571.2539801175199	-1440.3456308702785	0.2769926404963462	0.7728035312471491	0.08851111257389753	0.08851111257389753	4.496188962612358	0.2769926404963462	0.001	0.13626501928482743	0.001	0.10291643821137271	0.08271687788235534	3.6532781001611925	0.013200457424385047	0.013200457424385047	2.154887229225333	0.08271687788235534	0.1432126491442235	2.055354640545811	0.2192105488673171	0.2192105488673171	3.219798963431112	0.1432126491442235	0.001	0.9748946941613863	173.5787793012191	-454.5317903553447	1.7567576464684203	
13	-8239.054108278317	-7778.151610215607	-460.90249806270845	-1099.4582670586938	-5238.347712286635	188.09140432320726	1571.2539801175199	-1440.3456308702785	0.2769926404963462	0.7728035312471491	0.08851111257389753	0.08851111257389753	4.496188962612358	0.2769926404963462	0.001	0.13626501928482743	0.001	0.10291643821137271	0.08271687788235534	3.6532781001611925	0.013200457424385047	0.013200457424385047	2.154887229225333	0.08271687788235534	0.1432126491442235	2.055354640545811	0.2192105488673171	0.2192105488673171	3.219798963431112	0.1432126491442235	0.001	0.9748946941613863	173.5787793012191	-454.5317903553447	1.7567576464684203	
14	-8239.054108278317	-7778.151610215607	-460.90249806270845	-1099.4582670586938	-5238.347712286635	188.09140432320726	1571.2539801175199	-1440.3456308702785	0.2769926404963462	0.7728035312471491	0.08851111257389753	0.08851111257389753	4.496188962612358	0.2769926404963462	0.001	0.13626501928482743	0.001	0.10291643821137271	0.08271687788235534	3.6532781001611925	0.013200457424385047	0.013200457424385047	2.154887229225333	0.08271687788235534	0.1432126491442235	2.055354640545811	0.2192105488673171	0.2192105488673171	3.219798963431112	0.1432126491442235	0.001	0.9748946941613863	173.5787793012191	-454.5317903553447	1.7567576464684203	
15	-8239.054108278317	-7778.151610215607	-460.90249806270845	-1099.4582670586938	-5238.347712286635	188.09140432320726	1571.2539801175199	-1440.3456308702785	0.2769926404963462	0.7728035312471491	0.08851111257389753	0.08851111257389753	4.496188962612358	0.2769926404963462	0.001	0.13626501928482743	0.001	0.10291643821137271	0.08271687788235534	3.6532781001611925	0.013200457424385047	0.013200457424385047	2.154887229225333	0.08271687788235534	0.1432126491442235	2.055354640545811	0.2192105488673171	0.2192105488673171	3.219798963431112	0.1432126491442235	0.001	0.9748946941613863	173.5787793012191	-454.5317903553447	1.7567576464684203	
16	-8227.148185744305	-7777.6999116331135	-449.4482741111908	-1091.1991545121705	-5253.586980417334	187.54878539945463	1446.4394467385177	-1432.9137767036082	0.17999304230141877	0.7825878013799269	0.10215146555497018	0.10215146555497018	4.65312318290729	0.17999304230141877	0.001	0.13626501928482743	0.001	0.10291643821137271	0.04252520596102989	3.733661444003843	0.013200457424385047	0.013200457424385047	2.154887229225333	0.04252520596102989	0.1295710793991136	2.0905536541714915	0.232852118612427	0.232852118612427	3.1845999498054316	0.1295710793991136	0.001	0.9748946941613863	113.84209364130038	-443.4993856148341	1.7567576464684203	
17	-8236.377977375938	-7776.827147961313	-459.55082941462507	-1091.2992563397208	-5248.186834610071	200.29904193782588	1592.4907172993196	-1437.3410570115216	0.17999304230141877	0.771686843559898	0.0407649839532781	0.0407649839532781	4.786797103930703	0.17999304230141877	0.001	0.13626501928482743	0.001	0.10291643821137271	0.04252520596102989	3.5848673402750975	0.04380189778659559	0.04380189778659559	2.2424784522296575	0.04252520596102989	0.1295710793991136	2.198855262229809	0.2154073531520046	0.2154073531520046	3.111187872667959	0.1295710793991136	0.001	0.9748946941613863	154.0317154146651	-453.29959473750637	1.7567576464684203	
18	-8236.482988662507	-7776.46880051394	-460.01418814856777	-1087.3239083642422	-5248.812255461466	194.43853865480574	1575.3507187028845	-1440.3326366882316	0.3184950736181223	1.3974226053908363	0.12508984309755616	0.12508984309755616	3.7154075611778	0.3184950736181223	0.001	0.12041234811347362	0.001	0.10291643821137271	0.2015793948867956	3.176561649386588	0.009212299563723672	0.009212299563723672	2.4018549617123806	0.2015793948867956	0.13366198784143327	1.9875175418549773	0.20265095977766268	0.20265095977766268	3.339856562906834	0.13366198784143327	0.001	0.9748946941613863	134.9045063801553	-453.91139750008733	1.595516314880865	
19	-8244.44129260494	-7772.759689286812	-471.6816033181283	-1092.731583935604	-5240.35440152217	240.28240942135673	1854.574704029562	-1439.673703829039	0.3114208942380943	1.0278202502757152	0.0717239112299835	0.0717239112299835	4.2058901387881225	0.3114208942380943	0.001	0.12041234811347362	0.001	0.10291643821137271	0.1467221735264471	3.195714571279342	0.0329556983093336	0.0329556983093336	2.444929685049103	0.1467221735264471	0.14863414557481056	2.0535479967840997	0.1855190182433824	0.1855190182433824	3.278145675579518	0.14863414557481056	0.001	0.9748946941613863	171.64905460098265	-465.33792782546703	1.4610152107791339	
