"GBAC","host","color"
"MN433705_human_USA_2014_Hu-US-2014-CA-RGDS-1072_NA_stool_serotype_2","human","#73A11F"
"MN433706_human_USA_2014_Hu-US-2014-CA-RGDS-1073_NA_stool_serotype_5","human","#BA6CDB"
"MN444721_human_USA_2017_Hu-US-2017-CA-RGDS-1074_NA_stool_serotype_3","human","#5DBC9F"
"MT832892_human_BRA_2015_MAstV-1-Hu-BRA-TO-98-2015_TO-98_feces_serotype_1","human","#869ABE"
"MT832893_human_BRA_2015_MAstV-1-Hu-BRA-TO-160-2015_TO-160_feces_serotype_1","human","#98ABCE"
"MT832894_human_BRA_2011_MAstV-1-Hu-BRA-TO-162-2011_TO-162_feces_serotype_1","human","#91A5C7"
"MT832895_human_BRA_2015_MAstV-1-Hu-BRA-TO-171-2015_TO-171_feces_serotype_1","human","#8DA1C4"
"MT832896_human_BRA_2015_MAstV-1-Hu-BRA-TO-208-2015_TO-208_feces_serotype_1","human","#8A9EC1"
"MT832897_human_BRA_2015_MAstV-1-Hu-BRA-TO-161-2015_TO-161_feces_serotype_1","human","#95A8CA"
"MT906853_human_BRA_2014_Hu-BRA-TO-207-2014_BRA-TO-207_stool_serotype_4","human","#B69955"
"MT906854_human_BRA_2015_Hu-BRA-TO-71-2015_BRA-TO-71_stool-sample_serotype_4","human","#AA8D47"
"MT906855_human_BRA_2014_Hu-BRA-TO-26-2014_BRA-TO-26_stool-sample_serotype_4","human","#B0934E"
"MT906857_human_BRA_2014_Hu-BRA-TO-40-2014_BRA-TO-40_stool_serotype_5","human","#DE9CFF"
"MT906858_human_BRA_2014_Hu-BRA-TO-57-2014_BRA-TO-57_stool_serotype_5","human","#C67CE7"
"MT906859_human_BRA_2014_Hu-BRA-TO-32-2014_BRA-TO-32_stool-sample_serotype_5","human","#D28CF3"
"MW485040_human_KEN_2019_KLF-HAstV1-008-2019_NA_NA_serotype_1","human","#A3B6D7"
"MW485042_human_KEN_2019_KLF-HAstV2-005-2019_NA_NA_serotype_2","human","#8CBD3C"
"ON571594_human_CHN_2019_NA_2019-Fuzhou-26_feces_serotype_1","human","#A0B2D4"
"ON571595_human_CHN_2019_NA_2019-Fuzhou-289_feces_serotype_5","human","#963DB7"
"ON571596_human_CHN_2019_NA_2019-Fuzhou-306_feces_serotype_1","human","#7086AB"
"ON571597_human_CHN_2019_NA_2019-Pingtan-42_feces_serotype_1","human","#6C82A8"
"ON571598_human_CHN_2021_NA_2021-Fuzhou-37_feces_serotype_4","human","#ECCE93"
"OP432293_human_CHN_2021_NA_HAstV-4-RC-21027_NA_serotype_4","human","#E0C285"
"OP432294_human_CHN_2022_NA_HAstV-4-QD-L-22040_NA_serotype_4","human","#D4B678"
"OP432295_human_CHN_2022_NA_HAstV-4-QD-F-22056_NA_serotype_4","human","#F3D49B"
"OP432296_human_CHN_2021_NA_HAstV-4-RC-21047_NA_serotype_4","human",NA
"OP432297_human_CHN_2022_NA_HAstV-4-QD-L-22001_NA_serotype_4","human","#C2A462"
"OP432298_human_CHN_2022_NA_HAstV-4-QD-S-22015_NA_serotype_4","human","#C8AA69"
"OP432299_human_CHN_2021_NA_HAstV-4-RC-21045_NA_serotype_4","human","#DABC7E"
"OP432300_human_CHN_2022_NA_HAstV-4-QD-S-22022_NA_serotype_4","human","#BC9F5B"
"OP432301_human_CHN_2022_NA_HAstV-4-QD-L-22019_NA_serotype_4","human","#CEB071"
"OR222910_human_CHN_2021_NA_SY2106_stool_serotype_5","human","#A24DC3"
"OR371570_human_CHN_2022_HAstV-4-Fuzhou-2022-10_NA_feces_serotype_4","human","#E6C88C"
