OR448832.1	MK059949.1	78.111	434	69	17	6310	6734	6352	6768	5.22e-69	252
OR448831.1	MK059949.1	86.173	3052	399	18	2499	5537	2443	5484	0.0	3277
OR448831.1	MK059949.1	89.434	2385	244	4	16	2396	2	2382	0.0	3001
OR448831.1	MK059949.1	95.050	101	4	1	6673	6773	6668	6767	1.18e-40	158
OR448830.1	MK059949.1	87.115	5689	693	30	28	5704	1	5661	0.0	6408
OR448830.1	MK059949.1	78.271	451	68	21	6364	6801	6335	6768	2.45e-72	263
OQ198437.1	MK059949.1	94.266	4011	202	4	2027	6010	2448	6457	0.0	6107
OQ198437.1	MK059949.1	92.057	2027	161	0	1	2027	467	2493	0.0	2852
OQ198436.1	MK059949.1	94.531	3895	210	3	1995	5888	2448	6340	0.0	6010
OQ198436.1	MK059949.1	92.660	1989	146	0	1	1989	499	2487	0.0	2865
OQ198436.1	MK059949.1	94.118	68	4	0	5889	5956	6369	6436	1.37e-24	104
OQ198435.1	MK059949.1	94.774	2985	144	4	2442	5415	2448	5431	0.0	4638
OQ198435.1	MK059949.1	92.047	2452	176	6	1	2442	51	2493	0.0	3430
OQ198435.1	MK059949.1	95.585	453	20	0	5457	5909	6311	6763	0.0	726
OQ198434.1	MK059949.1	95.418	2837	130	0	2477	5313	2448	5284	0.0	4519
OQ198434.1	MK059949.1	92.707	2482	175	6	1	2477	13	2493	0.0	3576
OQ198434.1	MK059949.1	92.407	1396	103	3	5365	6760	5285	6677	0.0	1989
OQ198433.1	MK059949.1	94.700	3472	171	5	2959	6417	2997	6468	0.0	5380
OQ198433.1	MK059949.1	92.819	2409	173	0	1	2409	85	2493	0.0	3491
OQ198433.1	MK059949.1	91.684	481	34	4	2409	2886	2448	2925	0.0	662
OQ198432.1	MK059949.1	94.547	4016	210	4	2411	6419	2448	6461	0.0	6194
OQ198432.1	MK059949.1	92.368	2411	181	1	1	2411	86	2493	0.0	3430
OQ198431.1	MK059949.1	95.032	3462	172	0	2795	6256	2879	6340	0.0	5441
OQ198431.1	MK059949.1	92.665	2304	169	0	5	2308	184	2487	0.0	3319
OQ198431.1	MK059949.1	91.304	483	36	4	2314	2793	2448	2927	0.0	654
OQ198431.1	MK059949.1	94.118	68	4	0	6257	6324	6369	6436	1.45e-24	104
OQ198430.1	MK059949.1	95.292	4057	191	0	2476	6532	2448	6504	0.0	6434
OQ198430.1	MK059949.1	92.124	2476	195	0	1	2476	18	2493	0.0	3493
OQ198429.1	MK059949.1	94.548	3448	183	3	2246	5691	3321	6765	0.0	5321
OQ198429.1	MK059949.1	90.427	1640	145	5	1	1633	31	1665	0.0	2148
OQ198429.1	MK059949.1	94.836	581	30	0	1661	2241	2692	3272	0.0	907
OQ198428.1	MK059949.1	94.732	3588	179	2	2441	6018	2879	6466	0.0	5570
OQ198428.1	MK059949.1	92.381	1995	152	0	1	1995	499	2493	0.0	2843
OQ198428.1	MK059949.1	94.857	350	18	0	1995	2344	2448	2797	5.31e-158	547
OQ198427.1	MK059949.1	94.300	3895	218	3	2200	6092	2448	6340	0.0	5960
OQ198427.1	MK059949.1	93.307	1031	68	1	1170	2200	1464	2493	0.0	1520
OQ198427.1	MK059949.1	89.331	628	66	1	5	632	184	810	0.0	787
OQ198427.1	MK059949.1	90.446	314	30	0	635	948	929	1242	5.75e-118	414
OQ198427.1	MK059949.1	94.118	68	4	0	6093	6160	6369	6436	1.41e-24	104
OQ633093.1	MK059949.1	77.698	1251	270	7	1	1245	4328	5575	0.0	756
OQ633093.1	MK059949.1	74.929	351	69	13	2010	2352	6352	6691	1.14e-36	143
OQ633092.1	MK059949.1	91.582	2364	199	0	1	2364	4328	6691	0.0	3264
ON886355.1	MK059949.1	91.816	501	41	0	1	501	3658	4158	0.0	699
ON886354.1	MK059949.1	94.767	516	27	0	1	516	3643	4158	0.0	804
ON886353.1	MK059949.1	95.736	516	22	0	1	516	3643	4158	0.0	832
ON886352.1	MK059949.1	92.791	541	39	0	1	541	3610	4150	0.0	784
ON886351.1	MK059949.1	95.652	552	24	0	1	552	3607	4158	0.0	887
ON886350.1	MK059949.1	91.667	552	46	0	1	552	3607	4158	0.0	765
ON886348.1	MK059949.1	91.575	546	46	0	1	546	3607	4152	0.0	754
ON886347.1	MK059949.1	95.135	555	27	0	1	555	3604	4158	0.0	876
ON886344.1	MK059949.1	95.281	551	26	0	1	551	3604	4154	0.0	874
