"GBAC","color"
"MT832895_human_BRA_2015_MAstV-1-Hu-BRA-TO-171-2015_TO-171_feces_serotype_1",NA
"MT832896_human_BRA_2015_MAstV-1-Hu-BRA-TO-208-2015_TO-208_feces_serotype_1",NA
"MT832897_human_BRA_2015_MAstV-1-Hu-BRA-TO-161-2015_TO-161_feces_serotype_1",NA
"MT906853_human_BRA_2014_Hu-BRA-TO-207-2014_BRA-TO-207_stool_serotype_4","#B4A164"
"MT906854_human_BRA_2015_Hu-BRA-TO-71-2015_BRA-TO-71_stool-sample_serotype_4","#A89556"
"MT906855_human_BRA_2014_Hu-BRA-TO-26-2014_BRA-TO-26_stool-sample_serotype_4","#AE9B5D"
"MT906857_human_BRA_2014_Hu-BRA-TO-40-2014_BRA-TO-40_stool_serotype_5","#A7EEE2"
"MT906858_human_BRA_2014_Hu-BRA-TO-57-2014_BRA-TO-57_stool_serotype_5","#83D3C7"
"MT906859_human_BRA_2014_Hu-BRA-TO-32-2014_BRA-TO-32_stool-sample_serotype_5","#95E0D4"
"MW485040_human_KEN_2019_KLF-HAstV1-008-2019_NA_NA_serotype_1","#746BAF"
"MW485042_human_KEN_2019_KLF-HAstV2-005-2019_NA_NA_serotype_2","#CC7082"
"NC030922_NA_IND_2004_NA_V1347_NA_serotype_1",NA
"ON571594_human_CHN_2019_NA_2019-Fuzhou-26_feces_serotype_1","#61589F"
"ON571595_human_CHN_2019_NA_2019-Fuzhou-289_feces_serotype_5","#3B9D91"
"ON571596_human_CHN_2019_NA_2019-Fuzhou-306_feces_serotype_1",NA
"ON571597_human_CHN_2019_NA_2019-Pingtan-42_feces_serotype_1",NA
"ON571598_human_CHN_2021_NA_2021-Fuzhou-37_feces_serotype_4","#E9D7A4"
"OP432293_human_CHN_2021_NA_HAstV-4-RC-21027_NA_serotype_4","#DDCB96"
"OP432294_human_CHN_2022_NA_HAstV-4-QD-L-22040_NA_serotype_4","#D1BF88"
"OP432295_human_CHN_2022_NA_HAstV-4-QD-F-22056_NA_serotype_4","#EFDDAC"
"OP432296_human_CHN_2021_NA_HAstV-4-RC-21047_NA_serotype_4",NA
"OP432297_human_CHN_2022_NA_HAstV-4-QD-L-22001_NA_serotype_4","#BFAD73"
"OP432298_human_CHN_2022_NA_HAstV-4-QD-S-22015_NA_serotype_4","#C5B37A"
"OP432299_human_CHN_2021_NA_HAstV-4-RC-21045_NA_serotype_4","#D7C58F"
"OP432300_human_CHN_2022_NA_HAstV-4-QD-S-22022_NA_serotype_4","#BAA76C"
"OP432301_human_CHN_2022_NA_HAstV-4-QD-L-22019_NA_serotype_4","#CBB981"
"OR222910_human_CHN_2021_NA_SY2106_stool_serotype_5","#4DAB9F"
"OR371570_human_CHN_2022_HAstV-4-Fuzhou-2022-10_NA_feces_serotype_4","#E3D19D"
